epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4339,3.36727,4.97768,2.23892,0,0,0,0,0,0,0,6.312e-05,6.312e-05,6.312e-05
2,93.223,2.43323,4.71697,1.60781,0,0,0,0,0,0,0,0.000128896,0.000128896,0.000128896
3,140.906,2.0562,4.29736,1.38761,0,0,0,0,0,0,0,0.000191965,0.000191965,0.000191965
4,188.269,1.95744,3.80019,1.318,0,0,0,0,0,0,0,0.000252325,0.000252325,0.000252325
5,235.682,1.81204,3.42314,1.24971,0,0,0,0,0,0,0,0.000309978,0.000309978,0.000309978
6,284.091,1.75951,3.19675,1.2228,0,0,0,0,0,0,0,0.000364923,0.000364923,0.000364923
7,331.715,1.68094,2.96518,1.21173,0,0,0,0,0,0,0,0.00041716,0.00041716,0.00041716
8,379.652,1.67404,2.83392,1.21929,0,0,0,0,0,0,0,0.000453096,0.000453096,0.000453096
9,427.028,1.63869,2.70119,1.18357,0,0,0,0,0,0,0,0.000442682,0.000442682,0.000442682
