epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.763,1.61742,3.66925,1.42522,0.96291,0.13655,0.23135,0.17997,1.18918,3.71084,1.20425,0.0002,0.0002,0.0002
2,341.942,1.20226,2.06074,1.16254,0.89876,0.2451,0.57727,0.40355,1.15298,2.48472,1.18299,0.000398206,0.000398206,0.000398206
3,519.71,1.04934,1.33227,1.09658,0.94443,0.42378,0.70102,0.4753,1.11071,2.07294,1.1053,0.000588245,0.000588245,0.000588245
4,701.72,0.97983,1.09178,1.05289,0.9,0.67907,0.76275,0.55585,0.9681,1.56672,1.04743,0.000587875,0.000587875,0.000587875
5,896.031,0.91983,0.9673,1.02925,0.92596,0.76427,0.7999,0.5919,0.9331,1.08521,1.02457,0.0005755,0.0005755,0.0005755
6,1083.25,0.89202,0.88208,1.00948,0.94392,0.7603,0.80691,0.60326,0.87897,0.9063,0.99703,0.000563125,0.000563125,0.000563125
